Record Number~Publication Info.~Call No.~Horizon checkouts~Old in-house uses~Checkout Date~Standard No.~Title~CNY
i12838470~Great Barrington, Mass. : E.F. Schumacher Society, 2007.~338.92 T945~~~  -  -    ~~What about us--: the earth's people? / presented by Charles Turner.~
i12838482~Great Barrington, MA : New Economics Institute, c2011.~337.1 W214~~~  -  -    ~~Voices of a new economics / presented by Stewart Wallis ; [introduction by Susan Witt].~
i12838494~Great Barrington, MA : New Economics Institute, c2011.~333.7313 A456~~~  -  -    ~~The possiblity of profound change in America / presented by Gar Alperovitz ; edited by Hildegarde Hannum.~
i12838500~Great Barrington, MA : New Economics Institute, c2012.~330.122 A456~~~  -  -    ~~If you don't like capitalism or state socialism, what do you want? / presented by Gar Alperovitz ; edited by Hildegarde Hannum.~
i12838512~Great Barrington, MA : New Economics Institute, c2011.~320.1 S752~~~  -  -    ~~Letter to liberals : liberalism, environmentalism, and economic growth / presented by James Gustave Speth ; [introduction by Will Raap].~
i12838779~[Brooklyn, N.Y.] : Pratt Institute Fashion Design Department, [2011]~391.097471 P917PRATT~~~  -  -    ~~2011 Pratt fashion show : honoring Hamish Bowles.~
i12838780~[Brooklyn, NY] : Pratt, [2012]~391.097471 P917F~~~  -  -    ~~Fashion collective 2012.~
i12839875~Great Barrington, MA : E.F. Schumacher Society, 2005.~304.2 T633~~~  -  -    ~~An ecological economic order / presented by John Todd.~
i12839887~Great Barrington, MA. : E.F. Schumacher society, 1989.~338.9 H496~~~  -  -    ~~Development beyond economism : local paths to sustainable development / presented by Hazel Henderson.~
i12839899~Great Barrington, MA : E.F. Schumacher society, 1990.~321.06 K79~~~  -  -    ~~Why small is beautiful : the size interpretation of history / presented by Leopold Kohr.~
i12839917~Great Barrington, MA : E.F. Schumacher Society, 1984.~179.1 S768~~~  -  -    ~~Green politics : the spiritual dimension / presented by Charlene Spretnak.~
i12839929~Great Barrington, MA : E.F. Schumacher Society, 1984.~303.4 M159~~~  -  -    ~~John Deere and the bereavement counselor / presented by John L. McKnight.~
i12839930~Great Barrington, MA : E.F. Schumacher Society, c1999.~304.2 S163~~~  -  -    ~~Mother of all : an introduction to bioregionalism / presented by Kirkpatrick Sale.~
i12839942~[Great Barrington, MA] : [E.F. Schumacher Society], [1982]~338.927 M174~~~  -  -    ~~The community's role in appropriate technology / presented by George McRobie.~
i12839954~Great Barrington, MA : E.F. Schumacher Society, 1981.~577.55 J14~~~  -  -    ~~Call for a revolution in agriculture / presented by Wes Jackson.~
i12839966~[Great Barrington, MA] : [E.F. Schumacher Society], [1982]~362.82 B763~~~  -  -    ~~The family as a small society / presented by Elise Boulding.~
i12842151~Minneapolis : University of Minnesota Press, [2014]~306.484 H282~~~  -  -    ~9780816692293 (pb : alk. paper);0816692297 (pb : alk. paper);9780816692286 (hc : alk. paper);0816692289 (hc : alk. paper)~Chicago hustle and flow : gangs, gangsta rap, and social class / Geoff Harkness.~
i12842163~Lanham, Maryland : Bernan Press, [2015]~344.730463 C623~~~  -  -    ~9781598886474 pbk.;1598886479 pbk.;9781598886481 electronic bk.;1598886487 electronic bk.~Clean air handbook / Hunton & Williams ; principal author and editor, F. William Brownell ; contributing authors, Radoslawa Boczkaj-Gonzalez [and 11 others].~
i12842217~Lanham, Maryland : Lexington Books, [2013]~201.6 S825~~~  -  -    ~9780739142868 (cloth : alk. paper);0739142860 (cloth : alk. paper);9780739142882 (electronic);0739142887 (electronic);9780739142882 (electronic);40022115089~Religion, science, and democracy : a disputational friendship / Lisa L. Stenmark.~
i12842485~Lanham, Md. : Lexington Books, ©2012.~261.7097 B787~~~  -  -    ~9780739168745 (cloth : alk. paper);0739168746 (cloth : alk. paper);9780739184233 (paperback);0739184237 (paperback)~The garden and the wilderness : church and state in America to 1789 / David Dean Bowlby.~
i12842497~Minneapolis : University of Minnesota Press, [2014]~306.484 G487~~~  -  -    ~9780816689279 (hc : alk. paper);081668927X $q (hc : alk. paper);9780816689286 (pb : alk. paper);0816689288 $q (pb : alk. paper);99961329966~Cairo pop : youth music in contemporary Egypt / Daniel J. Gilman.~
i1284259x~Lanham : Rowman & Littlefield, [2014]~174.2 G562~~~  -  -    ~9781442232136 (cloth : alk. paper);1442232137 (cloth : alk. paper);9781442232143 (pbk. : alk. paper);1442232145 (pbk. : alk. paper);9781442232150 (electronic)~Global bioethics and human rights : contemporary issues / edited by Wanda Teays, John-Stewart Gordon, and Alison Dundes Renteln.~
i12842837~Brooklyn, NY : Melville House, [2015]~027.4741 N532S~~~03-19-2018 21:19:55.0~9781612194295 (hardback);161219429X (hardback);9781612194301 (ebook)~Patience and fortitude : power, real estate, and the fight to save a public library / Scott Sherman.~
i12843283~New York, N.Y. (P.O. Box 2627, New York 10009) : Stolen Lives Project, ©1999.~363.232 S875~~~  -  -    ~0967513626;9780967513621~Stolen lives : killed by law enforcement.~
i12843453~Boulder, Colo. : Westview Press, 1998.~305.4201 T665~~~  -  -    ~0813333326 (hardcover);9780813333328 (hardcover);0813332958 (pbk.);9780813332956 (pbk.)~Feminist thought : a more comprehensive introduction / Rosemarie Putnam Tong.~
i1284374x~Lanham, Maryland : Lexington Books, [2014]~201.7 R382W~~~  -  -    ~9780739185681 (cloth : alk. paper);0739185683 (cloth : alk. paper);9780739185698 (electronic)~Religion and terrorism : the use of violence in Abrahamic monotheism / edited by Veronica Ward and Richard Sherlock.~
i12843763~Honolulu : University of Hawaiʻi Press, [2016];©2016~297.095 B811~~~  -  -    ~9780824851613 (hardcover : alk. paper);0824851617 (hardcover : alk. paper)~Forging Islamic power and place : the legacy of Shaykh Dā'ūd bin 'Abd Allāh al-Faṭānī in Mecca and Southeast Asia / Francis R. Bradley.~
i12843969~Los Angeles : J. Paul Getty Museum, ©2011.~391.0902 S428F~~~  -  -    ~9781606060612 (hardcover);1606060619 (hardcover)~Fashion in the Middle Ages / Margaret Scott.~
i12844317~Stockbridge, Ma. : E.F. Schumacher, 1993.~338.927 U22~~~  -  -    ~~The right livelihood award and further initiatives for a sustainable society / presented by Jakob von Uexkull.~
i12844330~Great Barrington, MA : E.F. Schumacher Society, ©1991.~577.27 B281~~~  -  -    ~~The ecozoic era / presented by Thomas Berry.~
i12844342~Great Barrington, MA : E.F. Schumacher Society, ©1993.~333.72 B877~~~  -  -    ~~It's healing time on earth / presented by David R. Brower.~
i12844354~Great Barrington, MA : E.F. Schumacher Society, ©1991.~304.2 M657~~~  -  -    ~~Making amends to the myriad creatures / Stephanie Mills.~
i12844366~Great Barrington, MA. E.F. Schumacher society, c1990~363.7063 E33~~~  -  -    ~~The management explosion and the next environmental crisis / presented by David Ehrenfeld.~
i1284438x~Great Barrington, Ma. : E.F. Schumacher, 1993.~179.1 H246~~~  -  -    ~~Wagner and the fate of the earth : a contemporary reading of The Ring / by Hunter G. Hannum.~
i12845437~Philadelphia : Joseph and Edward Parker, 1832.~030 E23~~~  -  -    ~~The Edinburgh encyclopaedia / conducted by David Brewster ; with the assistance of gentlemen eminent in science and literature.~
i12845449~Philadelphia : Joseph and Edward Parker, 1832.~030 E23~~~  -  -    ~~The Edinburgh encyclopaedia / conducted by David Brewster ; with the assistance of gentlemen eminent in science and literature.~
i12846053~Lanham, Maryland : Lexington Books, [2013]~277.3 U72~~~  -  -    ~9780739168295 (cloth);0739168290 (cloth);9780739168301 (electronic);0739168304 (electronic);9780739168301 (electronic);9781498521055 (paper)~Urban God talk : constructing a hip hop spirituality / edited by Andre E. Johnson.~
i12846193~London ; New York : Rowman & Littlefield International, [2014]~111.85092 D348I~~~  -  -    ~9781783480319 (cloth : alk. paper);1783480319 (cloth : alk. paper);9781783480326 (pbk. : alk. paper);1783480327 (pbk. : alk. paper);9781783480333 (electronic);40023905029~Intensities and lines of flight : Deleuze/Guattari and the arts / edited by Antonio Calcagno, Jim Vernon and Steve G. Lofts.~
i12846351~Los Angeles : Getty Conservation Institute, ©2011.~667.6 S785~~~  -  -    ~9781606060674 (pbk.);1606060678 (pbk.)~House paints, 1900-1960 : history and use / Harriet A.L. Standeven.~
i12846740~New York : McGraw-Hill, c1988.~598.2974 F241~~~  -  -    ~0070199760 (soft)~Eastern birds / John Farrand, Jr.~
i12849170~Boston : Harvard Business School Press, ©2004.~658.404 L948~~~  -  -    ~1591393213 (pbk. : alk. paper);9781591393214 (pbk. : alk. paper)~Managing projects large and small : the fundamental skills for delivering on budget and on time.~
i12849935~New York : Quantuck Lane Press, ©2003.~378.744 H339H~~~  -  -    ~0971454892;9780971454897~Harvard works because we do / photographs and interviews by Greg Halpern ; foreword by Studs Terkel.~
i12850573~Princeton, N.J. : Princeton University Press, ©1989.~686.2094 U84~~~  -  -    ~0691055807;9780691055800~The Culture of print : power and the uses of print in early modern Europe / Alain Boureau [and others] ; edited by Roger Chartier ; translated by Lydia G. Cochrane.~
i12850688~New York : Stewart, Tabori & Chang, 2009.~643.7 P693~~~  -  -    ~9781584797869;158479786X~This green house : home improvements for the eco-smart, the thrifty, and the do-it-yourselfer / Joshua Piven ; illustrations by Owen Sherwood.~
i12851115~Cambridge, Mass. : Harvard University Press, ©1998.~344.04634 B463O~~~  -  -    ~0674650034 (pbk. : alk. paper);9780674650039 (pbk. : alk. paper);0674650026 (cloth : alk. paper);9780674650022 (cloth : alk. paper)~Ozone diplomacy : new directions in safeguarding the planet / Richard Elliot Benedick.~
i12852235~Brooklyn, N.Y. : Office of Public Information, Pratt Institute~378.74705 P914~~~  -  -    ~~Pratt folio.~
i12852247~Brooklyn, N.Y. : Office of Public Information, Pratt Institute~378.74705 P914~~~  -  -    ~~Pratt folio.~
i12852995~New York : Jeremy P. Tarcher-Penguin, 2015.~130 L138~~~  -  -    ~9780399166808;0399166807~The secret teachers of the western world / by Gary Lachman.~
i1285346x~Osceola, WI, USA : Motorbooks International, 1996.~388.10973 W833~~~  -  -    ~076030114X (casebound : alk. paper);9780760301142 (casebound : alk. paper)~Route 66 remembered / Michael Karl Witzel.~
i12853616~New York, Theatre Arts Books [1968]~391 W354C~~~  -  -    ~~The cut of women's clothes, 1600-1930. With line diagrs. by Margaret Woodward.~
i12854037~Berkeley : University of California Press, ©2002.~301.096 I31~~~  -  -    ~0520229487 (cloth : alk. paper);9780520229488 (cloth : alk. paper);0520229495 (paper : alk. paper);9780520229495 (paper : alk. paper)~Images and empires : visuality in colonial and postcolonial Africa / edited by Paul S. Landau and Deborah D. Kaspin.~
i12854463~Chicago : University of Chicago Press, ©2003.~331.76 C712~~~  -  -    ~0226113701 (hbk. : alk. paper);9780226113708 (hbk. : alk. paper);0226113728 (pbk. : alk. paper);9780226113722 (pbk. : alk. paper)~Threads : gender, labor, and power in the global apparel industry / Jane L. Collins.~
i1285492x~London : Phaidon, 2013.~391.43082 T784D~~~  -  -    ~9780714865270 (hbk);0714865273 (hbk)~Philip Treacy / by Kevin Davies.~
i12854980~Amsterdam ; Boston ; Heidelberg ; London ; New York ; Oxford ; Paris ; San Diego ; San Francisco ; Singapore ; Sydney ; Tokyo : Elsevier : Academic Press, [2015];©2015~551.55 B472~~~  -  -    ~9780128015209;0128015209~Learning from the impacts of superstorm Sandy / J. Bret Bennington, E. Christa Farmer.~
i12855017~Chicago, Ill. : Center for American Places at Columbia College, 2012.~388.12 M135~~~  -  -    ~9781935195375 (pbk.);1935195379 (pbk.)~Pleasure drives and promenades : the history of Frederick Law Olmsted's Brooklyn parkways / Elizabeth MacDonald.~
i12855029~Boulder, Colorado : Lynne Rienner Publishers, Inc., 2013.~305.40917 H758~~~  -  -    ~9781588269256 (alk. paper);1588269256 (alk. paper);40022875803~Women, Islam and resistance in the Arab world / Maria Holt, Haifaa Jawad.~
i12855108~New York, NY : Oxford University Press, [2015]~658.408 P974~~~  -  -    ~9780199997480 (hardback);0199997489 (hardback);40024725108~The psychology of green organizations / edited by Jennifer L. Robertson, Julian Barling.~
i12856009~New York : Vintage Books, [1975, ©1974]~155.633 M681~~~  -  -    ~0394714423;9780394714424~Psychoanalysis and feminism / Juliet Mitchell.~
i12856277~[New York] : New Museum of Contemporary Art, 2011.~070.484 R286~~~  -  -    ~9780983381570;0983381577~The reader / editor Steffani Jemison ; contributors Jamal Cyrus, Egie Ighile, Mitchell Jackson, Steffani Jemison, Ryan Inouye, Sharifa Rhodes-Pitts/The Freedwoman's Bureau, Ethan Swan, Greg Tate.~
i12857026~Hoboken, New Jersey : John Wiley & Sons, Inc., [2015]~658.1512 E17~~~  -  -    ~9781118646984 (hardcover);1118646983 (hardcover);1118993748 (electronic bk.);9781118993743 (electronic bk.)~The integrated reporting movement : meaning, momentum, motives, and materiality / Robert G. Eccles, Michael P. Krzus, with Sydney Ribot.~
i12858432~New York : Blue Rider Press, a member of Penguin Group (USA), [2013]~391.0973 D691~~~  -  -    ~9780399161896 (hardback);0399161899 (hardback)~The asylum : true tales of madness from a life in fashion / Simon Doonan.~
i1285945x~London : Zed Books, 2014.~305.4201 M632~~~  -  -    ~9781780325637 (pbk.);1780325630 (pbk.)~Ecofeminism / Maria Mies & Vandana Shiva ; with a foreword by Ariel Salleh.~
i12859667~London : Routledge/Taylor & Francis Group, 2015.;©2015~658.802 G798~~~03-13-2018 14:45:05.0~9781138016545;1138016543~Green advertising and the reluctant consumer / edited by Kim Sheehan and Lucy Atkinson.~
i12859850~Philadelphia : PENN/University of Pennsylvania Press, [2015]~387.73 J65B~~~  -  -    ~9780812247411 (alk. paper);0812247418 (alk. paper)~The Metropolitan airport : JFK International and modern New York / Nicholas Dagen Bloom.~
i12859862~New York, NY : Routledge, 2015.~620.004202 C268~~~  -  -    ~9780415744973 (hardback);0415744970 (hardback);9780415744997 (paperback);0415744997 (paperback);9781315798240 (ebook)~Builders of the vision : software and the imagination of design / Daniel Cardoso Llach.~
i12860050~San Luis Obispo, CA : Graphic Communication Institute at Cal Poly, [2014];©2014~686.22544 R759~~~  -  -    ~9780991130801;0991130804~History of the phototypesetting era / Frank J. Romano ; [co-authors] Drea Achacoso ... [et al.].~
i12860347~Pittsburgh : University of Pittsburgh Press, [2013]~627.8 J12~~~  -  -    ~9780822944263 (hardcover : alk. paper);082294426X (hardcover : alk. paper)~Pastoral and monumental : dams, postcards, and the American landscape / Donald C. Jackson.~
i12860360~Santa Barbara, California : Praeger, [2015]~363.7387 J65~~~  -  -    ~9781440832512 (cloth ; alk. paper);144083251X (cloth ; alk. paper);9781440832529 (ebook);40025163926~Eco-hustle! : global warming, greenwashing, and sustainability / Bruce E. Johansen.~
i12860372~Sheffield, UK : Greenleaf Publishing, [2015]~338.476802 S964~~~  -  -    ~9781783530618 (hbk.);1783530618;9781783530625 (PDF ebook);9781783530322 (ePub ebook)~Sustainable luxury : managing social and environmental performance in iconic brands / edited by Miguel Angel Gardetti, Ana Laura Torres.~
i12860438~New York : New York University Press, ©2005.~363.70097 C514~~~  -  -    ~0814716571 (cloth : alk. paper);9780814716571 (cloth : alk. paper);081471658X (pbk. : alk. paper);9780814716588 (pbk. : alk. paper)~Polluted promises : environmental racism and the search for justice in a southern town / Melissa Checker.~
i1286075x~New York, New York : Dutton, [2014]~551.55 M643~~~  -  -    ~9780525954408 (hardback);0525954406 (hardback)~Superstorm : nine days inside Hurricane Sandy / Kathryn Miles.~
i12861935~New York, New York : Penguin Press, an imprint of Penguin Radom House LLC, 2015.;©2015~332.11 U58L~~~  -  -    ~9781594205491 (hardback);1594205493 (hardback)~America's bank : the epic struggle to create the Federal Reserve / Roger Lowenstein.~
i1286240x~Cambridge, Mass. : MIT Press, ©1999.~305.42 W629~~~  -  -    ~0262220547 (hardcover : alk. paper);9780262220545 (hardcover : alk. paper);0262720310 (pbk.);9780262720311 (pbk.)~Why so slow? : the advancement of women / Virginia Valian.~
i12862447~New York ; London : Routledge, ©1992.~305.4201 W872~~~  -  -    ~0415907128;9780415907125;0044452217;9780044452218~Women, knowledge, and reality : explorations in feminist philosophy / Ann Garry, Marilyn Pearsall.~
i12862800~Newburyport, MA : Focus, ©2009.~292 W295~~~  -  -    ~9781585100316 (pbk.);1585100315 (pbk.)~Greek religion : a sourcebook / Valerie M. Warrior.~
i12863002~Cambridge, UK ; New York : Cambridge University Press, 2005.~327.101 P887~~~  -  -    ~0521840244;9780521840248;0521549523 (pb.);9780521549523 (pb.);9780521549523~Power in global governance / edited by Michael Barnett and Raymond Duvall.~
i12863038~West Dover, VT : DRA of Vermont, Inc., 2000.~681.62 W378~~~  -  -    ~0970261705;9780970261700~Print unchained : fifty years of digital printing, 1950-2000 and beyond : a saga of invention and enterprise / Edward Webster.~
i12863762~Kansas City : Andrews McMeel Publishing, ©2011.~635.642 E79~~~  -  -    ~9781449401092;1449401090;050837279360~Tomatoland : how modern industrial agriculture destroyed our most alluring fruit / Barry Estabrook.~
i12864456~Cambridge, Massachusetts : The Belknap Press of Harvard University Press, 2015.~359.009 P451~~~  -  -    ~9780674286153 (cloth ; alkaline paper);0674286154 (cloth ; alkaline paper);40025286603~Citizen sailors : becoming American in the age of revolution / Nathan Perl-Rosenthal.~
i12864791~[Boston] : Museum of Fine Arts Boston, [2013];©2013~391.0944 L543~~~  -  -    ~0983957398;9780983957393~Glamour by design : design drawings from the house of Lucien Lelong : couturier, 16, avenue Matignon, Paris 1925-1948 / Emily Banis Stoehrer.~
i12865114~Springfield, Ill. : Charles C. Thomas, Publisher, 2013.~616.891656 C957~~~  -  -    ~9780398088521 (hard);0398088527 (hard);9780398088538 (pbk.);0398088535 (pbk.)~Feders' the art and science of evaluation in the arts therapies : how do you know what's working / by Robyn Flaum Cruz and Bernard Feder ; with contributions by Donna Betts and Barbara L. Wheeler.~
i12866441~New York : HarperPerennial, 2006.~301.152 H986BRA~~~  -  -    ~0060898526 (pbk.);9780060898526 (pbk.)~Brave new world revisited / Aldous Huxley.~
i12866714~Folkestone : Dawsons, 1972.~015.42 A122T~~~  -  -    ~071290557X;9780712905572~Travel in aquatint and lithography, 1770-1860, from the library of J.R. Abbey : a bibliographical catalogue. Vol. 1, World, Europe, Africa / [by J.R. Abbey].~
i12866726~Folkestone : Dawsons, 1972.~015.42 A122~~~  -  -    ~0712905596;9780712905596~Scenery of Great Britain and Ireland in aquatint and lithography, 1770-1860, from the library of J.R. Abbey : a bibliographical catalogue / [by J.R. Abbey].~
i12866969~Great Barrington, Mass. : SteinerBooks, ©2009.~152.384 S822~~~  -  -    ~9780880105798;0880105798~Eurythmy forms for tone eurythmy : reproductions of the original pages / Rudolf Steiner ; with an introduction to the English by Dorothea Mier ; German edition introduced and edited by Eva Fröbose ; translated by Marsha Post.~
i12867019~New York : New York University Press, [2015]~305.896073 H295~~~  -  -    ~9781479865437 (hardcover ; alkaline paper);1479865435 (hardcover ; alkaline paper);9781479818365 (paperback ; alkaline paper);1479818364 (paperback ; alkaline paper)~Abstractionist aesthetics : artistic form and social critique in African American culture / Phillip Brian Harper.~
i12867378~Stanford, California : Stanford University Press, [2015]~384.8 C752~~~  -  -    ~9780804790772 (hbk. ; alk. paper);0804790779 (hbk. ; alk. paper);9780804794749 (ebook)~The studios after the studios : neoclassical Hollywood (1970-2010) / J.D. Connor.~
i12868577~London : John Murray, 2013.~303.48330905 G451~~~  -  -    ~9781848546431 (pbk.);1848546432 (pbk.)~The blind giant : how to survive in the digital age / Nick Harkaway.~
i12868590~Guilford, Connecticut : LP, [2016];©2016~306.362097 H735~~~  -  -    ~9781493008469 (hardcopy);1493008463 (hardcopy);9781493024193 (ebook)~The invisibles : the untold story of African American slaves in the White House / Jesse J. Holland.~
i12869272~London ; New York : Phaidon, 2016.~646.724 B234~~~  -  -    ~0714871044;9780714871042~The barber book / edited by Giulia Pivetta ; illustrations by Matteo Guarnaccia.~
i12869454~Grand Rapids, Michigan : Brazos Press, [2016]~305.800973 W214~~~  -  -    ~9781587433429 (cloth);1587433427 (cloth)~America's Original Sin : Racism, White Privilege, and the Bridge to a New America / Jim Wallis.~
i12870274~Spring Valley, N.Y. : Waldorf Early Childhood Association of North America, [2011]~372.86 B916~~~  -  -    ~193684902X;9781936849024~Movement for the young child : a handbook for eurythmists and kindergarten teachers / Estelle Bryer.~
i12870432~Berkeley : University of California Press, ©2007.~303.6095 D229~~~  -  -    ~0520247442 (cloth : alk. paper);9780520247444 (cloth : alk. paper);0520247450 (pbk. : alk. paper);9780520247451 (pbk. : alk. paper)~Life and words : violence and the descent into the ordinary / Veena Das ; foreword by Stanley Cavell.~
i12870572~Santa Barbara, California : Praeger, an imprint of ABC-CLIO, LLC, [2014];©2014~362.88 S851~~~  -  -    ~9781440829376 (hard copy ; alk. paper);1440829373 (hard copy ; alk. paper);9781440829383 (ebook)~Ordinary violence : everyday assaults against women worldwide / Mary White Stewart, PhD.~
i12870675~Santa Barbara, California : Praeger, [2015]~004.678 M292~~~  -  -    ~9781440833175 (hardback);1440833176 (hardback);9781440833182 (ebk)~Gendertrolling : how misogyny went viral / Karla Mantilla.~
i12872982~New York : Leo Baeck Institute, [2007]~026.305 H638~~~  -  -    ~~"Highlights from the collections : the library, the archives, art collection, photographic collection / Leo Baeck Institute, with an introduction by Roger Cohen ""Leo Baeck Institute - the objects of our past."""~
i1287324x~New York : Oxford University Press, 2006.~305.80097 A354~~~  -  -    ~0195137345 (alk. paper);0195137353 (pbk. : alk. paper);9780195137347;9780195137354~Visible identities : race, gender, and the self / Linda Martín Alcoff.~
i12873718~[Copenhagen] : DAC / Danish Architecture Centre, [2006]~307.760951 C673~~~  -  -    ~8790668618;9788790668617~Co-evolution : Danish/Chinese collaboration on sustainable urban development in China / Henrik Valeur, Regitze Marianne Hess, [editors]~
i12874450~London : British Film Institute, 1996.~391.0942 C771~~~  -  -    ~0851704697;9780851704692;085170574X (pbk.);9780851705743 (pbk.)~Fashioning the nation : costume and identity in British cinema / Pam Cook.~
i12874486~Bloomington, Ind. : Indiana University Press, ©1999.~391.09 B645~~~  -  -    ~0253335876 (cloth ; alk. paper);9780253335876 (cloth ; alk. paper);0253213339 (pbk. ; alk. paper);9780253213334 (pbk. ; alk. paper)~Nothing in itself : complexions of fashion / Herbert Blau.~
i12874528~Minneapolis : University of Minnesota Press, ©2000.~391.0973 B534~~~  -  -    ~0816633126 (hc);9780816633128 (hc);0816633134 (pb);9780816633135 (pb)~Screen style : fashion and femininity in 1930s Hollywood / Sarah Berry.~
i12874887~New York : Thames and Hudson, 1996.~391.09 P762~~~  -  -    ~0500278954;9780500278956~Style surfing : what to wear in the 3rd millennium / Ted Polhemus.~
i12874899~New York : Columbia University Press, [2003?]~391.2 F533~~~  -  -    ~0231125003 (alk. paper);9780231125000 (alk. paper);0231125011 (pbk. : alk. paper);9780231125017 (pbk. : alk. paper)~Designing women : cinema, art deco, and the female form / Lucy Fischer.~
i12875569~New York : Prentice Hall Press, ©1990.~133 P238~~~  -  -    ~0130505765;9780130505767;0130506346 (pbk.);9780130506344 (pbk.)~Atlas of the supernatural / Derek and Julia Parker.~
i12875855~London ; New York : Bloomsbury Academic, 2016.~363.69097 L424~~~  -  -    ~9781474240819 (hardback);147424081X (hardback);9781474240833~Protecting suburban America : gentrification, advocacy and the historic imaginary / Denise Lawrence-Zuniga.~
i12875946~New York, N.Y. : Lost Art, ©2004.~391 B565~~~  -  -    ~~Lost Art / by Jordan Betten ; [foreword by Anna Sui].~
i12876057~Köln ; London : Taschen, 1999, ©1991.~391.0973 G376MO~~~  -  -    ~3822871974;9783822871973~The Rudi Gernreich book / Peggy Moffitt ; photography by William Claxton ; essay by Marylou Luther.~
i12876458~Bristol : Intellect Ltd, [2014]-~391.1 C934~~~  -  -    ~2050-070X~Critical studies in men's fashion.~
i12876537~Chichester, UK ; Malden, Mass. : Wiley-Blackwell, 2009.~153.35 Z41~~~  -  -    ~1405185589 (hbk. ; alk. paper);1405185570 (pbk. ; alk. paper);9781405185585 (hbk. ; alk. paper);9781405185578 (pbk. ; alk. paper);100500394~Splendors and miseries of the brain : love, creativity, and the quest for human happiness / Semir Zeki.~
i12877426~New York : Facts on File Publications, c1985.~581 B627~~~  -  -    ~081601065X~Plants / David Black & Anthony Huxley.~
i12877931~Abingdon, Oxon ; New York, NY : Routledge, 2016.~333.1 S964~~~  -  -    ~9781138016521 hardback;1138016527 hardback;9781315621784;1315621789;9781138808775;1138808776~Sustainable regeneration of former military sites / edited by Samer Bagaeen and Celia Clark.~
i12877955~Charlottesville, VA : Hampton Roads, c2001.~115 D923~~~  -  -    ~1571742344;9781571742346~An experiment with time / J.W. Dunne.~
i12880589~[Alexandria, VA : Time-Life Books], c1985.~398.21 A646~~~  -  -    ~0809452243;0809452251 (lib. bdg.)~Dwarfs / by Tim Appenzeller and the editors of Time-Life Books.~
i12881016~Chicago, Ill. : University of Chicago Press ; Chichester : Wiley, 1998.~391.43408996 S925~~~  -  -    ~0226777332;9780226777337~Inventing masks : agency and history in the art of the Central Pende / Z.S. Strother.~
i12881533~Cambridge, Massachusetts : Harvard Education Press, [2015];©2015~371.93 T714~~~  -  -    ~9781612507613 (paperback);1612507611 (paperback);9781612507620 (hardcover);161250762X (hardcover)~Make me! : understanding and engaging student resistance in school / Eric Toshalis.~
i12882732~Baltimore : Johns Hopkins University Press, 2016.;©2016~338.476292 L942~~~  -  -    ~9781421419428 hardcover ; alkaline paper;1421419424 hardcover ; alkaline paper~Junkyards, gearheads, and rust : salvaging the automotive past / David N. Lucsko.~
i1288330x~Cambridge, Mass. : Harvard Education Press, [2013];©2013~370.91 R314~~~  -  -    ~1612505740;9781612505749 (Paperback);1612505759;9781612505756 (Library Edition)~The redesign of urban school systems : case studies in district governance / edited by Donald R. McAdams and Dan Katzir.~
i12885575~Brooklyn, N.Y. : Pratt Institute Office of Communications and Marketing, [2016]~391.097471 P917A~~~  -  -    ~~Amazin'  / design and production by Pratt Institute Office of Communications and Marketing.~
i12887493~Brooklyn, NY : Common Notions, c2014.~639.2 D144~~~  -  -    ~1942173008;9781942173007~Our mother ocean : enclosure, commons, and the global fishermen's movement / Mariarosa Dalla Costa and Monica Chilese ; translated by Silvia Frederici.~
i12887894~New York : New York University Press, [2015]~331.76 W816~~~  -  -    ~9780814794180 (cl : alk. paper);0814794181 (cl : alk. paper);9781479864775 (pb : alk. paper);1479864773 (pb : alk. paper)~This year's model : fashion, media, and the making of glamour / Elizabeth A. Wissinger.~
i12887936~Houndmills, Basingstoke, Hampshire ; New York : Palgrave Macmillan, [2013]~070.18 H772~~~  -  -    ~9781137017451;1137017457;1137017465;9781137017468;40022503431~Animated documentary / by Annabelle Honess Roe, University of Surrey, UK.~
i12888436~Berkeley, Calif. : Ten Speed Press, 1971-~331.702 B691W~~~  -  -    ~8755-4658~What color is your parachute? / Richard Nelson Bolles.~
i1288862x~Oxford ; New York : Oxford University Press, [2014]~306.4 M132~~~  -  -    ~9780199908066 (hardback ; alk. paper);0199908060 (hardback ; alk. paper)~The beauty trade : youth, gender, and fashion globlization / by Angela B.V. McCracken.~
i1288912x~New York : Picador, 2008.~330.122 K64~~~  -  -    ~9780312427993 (pbk.);0312427999 (pbk.)~The shock doctrine : the rise of disaster capitalism / Naomi Klein.~
i12889490~[Brooklyn, N.Y.] : Pratt, [2015]~391.097471 P917T~~~  -  -    ~~2015 fashion laboratory / Pratt Institute.~
i12891332~Chicago : University of Chicago Press, 1992.~305.80095 D893~~~  -  -    ~0226169545 (alk. paper);9780226169545 (alk. paper);0226169553 (pbk. : alk. paper);9780226169552 (pbk. : alk. paper)~Visayan vignettes : ethnographic traces of a Philippine island / Jean-Paul Dumont.~
i12892282~Turners Falls, MA : Northeast Foundation for Children, c2007.~305.231 W881Y~~~  -  -    ~9781892989215 (hbk.);1892989212 (hbk.);9781892989192 (pbk.);1892989190 (pbk.)~Yardsticks : children in the classroom, ages 4-14 / Chip Wood ; foreword by William Crain.~
i12895763~Brooklyn, N.Y. : Office of Public Information, Pratt Institute~378.74705 P914~~~  -  -    ~~Pratt folio.~
